,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
738,2020-04-23,68.9675,70.4375,68.7175,68.7575,67.417114,124801712,31200428,-0.21,-0.30449,69.47,"April 23, 20",-0.0030449
737,2020-04-24,69.3,70.7525,69.25,70.7425,69.363411,126508732,31627183,1.4425,2.08,70.1,"April 24, 20",0.0208
736,2020-04-27,70.45,71.135,69.9875,70.7925,69.412422,117087572,29271893,0.3425,0.48616,70.59,"April 27, 20",0.0048616
735,2020-04-28,71.27,71.4575,69.55,69.645,68.287315,112004748,28001187,-1.625,-2.28,70.41,"April 28, 20",-0.0228
734,2020-04-29,71.1825,72.4175,70.9725,71.9325,70.530205,137280816,34320204,0.75,1.05,71.85,"April 29, 20",0.0105
733,2020-04-30,72.49,73.6325,72.0875,73.45,72.018135,183063872,45765968,0.96,1.32,72.92,"April 30, 20",0.0132
732,2020-05-01,71.5625,74.75,71.4625,72.2675,70.858681,240616692,60154173,0.705,0.98515,73.15,"May 01, 20",0.0098515
731,2020-05-04,72.2925,73.4225,71.5793,73.29,71.861237,133446864,33361716,0.9975,1.38,72.64,"May 04, 20",0.0138
730,2020-05-05,73.765,75.25,73.615,74.39,72.939789,147751180,36937795,0.625,0.84729,74.64,"May 05, 20",0.0084729
729,2020-05-06,75.115,75.81,74.7175,75.1575,73.692329,142333256,35583314,0.0425,0.05657991,75.44,"May 06, 20",0.0005657991
728,2020-05-07,75.805,76.2925,75.4925,75.935,74.454697,115215056,28803764,0.13,0.17149,75.93,"May 07, 20",0.0017149
727,2020-05-08,76.41,77.5875,76.0725,77.5325,76.226822,134047940,33511985,1.1225,1.47,76.95,"May 08, 20",0.0147
726,2020-05-11,77.025,79.2625,76.81,78.7525,77.426292,145945400,36486350,1.7275,2.24,78.25,"May 11, 20",0.0224
725,2020-05-12,79.4575,79.922,77.7275,77.8525,76.541435,162100936,40525234,-1.605,-2.02,79.07,"May 12, 20",-0.0202
724,2020-05-13,78.0375,78.9875,75.8025,76.9125,75.617264,200622556,50155639,-1.125,-1.44,77.24,"May 13, 20",-0.0144
723,2020-05-14,76.1275,77.4475,75.3825,77.385,76.081818,158600728,39650182,1.2575,1.65,76.4,"May 14, 20",0.0165
722,2020-05-15,75.0875,76.975,75.0525,76.9275,75.632011,165283688,41320922,1.84,2.45,76.21,"May 15, 20",0.0245
721,2020-05-18,78.2925,79.125,77.581,78.74,77.414001,135369872,33842468,0.4475,0.57157,78.52,"May 18, 20",0.0057157
